Year,Country Name,AverageTaxPaid,AverageTaxPaid_perc_change,AverageWageUSDPPP,AverageW,CurrencyPerDollar,CurrencyPerDollar_perc_change,Inflation,Inflation_perc_change,Marginalrate,MarginalRate1_perc_change,Marginalrate2,MarginalRate2_perc_change,Marginalrate3,MarginalRate3_perc_change,Marginalrate4,MarginalRate4_perc_change,Marginalrate5,MarginalRate5_perc_change,PersonalAllowance,PersonalAllowance_perc_change,Threshold,Threshold1_perc_change,Threshold2,Threshold2_perc_change,Threshold3,Threshold3_perc_change,Threshold4,Threshold4_perc_change,Unemployment,Unemployment_perc_change,VAT,VAT_perc_change
1991,Switzerland,0.0,,,,1.433992,3.2274226545864426,5.859596635,8.431550558451196,0.0,,0.77,0.0,0.88,0.0,2.64,0.0,2.97,0.0,,,12900.0,4.878048780487809,21000.0,7.14285714285714,27500.0,7.003891050583655,36700.0,6.997084548104948,1.818,,,
1991,United States,4560.62334,,,,1.0,0.0,4.234963965,-21.545051130497818,15.0,0.0,28.0,0.0,31.0,-0.9090909090909094,36.0,-0.8196721311475419,39.6,0.0,5550.0,4.716981132075482,20350.0,10.2981029810298,49300.0,3.2305700856732122,135050.0,2.1745635725052614,260125.0,3.112567075613315,6.8,,,
1992,Australia,0.0,,,,1.361648,6.067508155755452,1.012231126,-68.13551880184723,0.0,,20.0,0.0,38.0,0.0,46.0,0.0,47.0,0.0,,,5400.0,0.0,20700.0,0.0,36000.0,0.0,50000.0,0.0,10.733,11.96536615898185,,
1992,Austria,1795.6806000000001,,,,0.798626,-5.880342525002302,4.0208478,20.477474348738834,10.0,,22.0,0.0,32.0,0.0,42.0,0.0,,0.0,,0.0,50000.0,0.0,150000.0,0.0,300000.0,0.0,,0.0,3.59,4.970760233918137,,
1992,Belgium,0.0,,,,0.796965,-5.853188314887059,2.427955672,-24.487680855045756,25.0,0.0,30.0,0.0,40.0,0.0,45.0,0.0,50.0,0.0,181000.0,2.840909090909083,253000.0,3.2653061224489743,335000.0,3.076923076923066,478000.0,3.0172413793103425,1100000.0,3.092783505154628,6.702,-4.03780068728522,,
1992,France,0.0,,,,0.807037,-6.173216995006592,2.363760463,-26.44068352786264,0.0,,5.0,0.0,9.6,0.0,14.4,0.0,19.2,0.0,,,2930.0,2.8431028431028516,3061.0,2.8216325159556632,3628.0,2.805327288183612,5735.0,2.8146288992470403,10.203,11.703525290124794,,
1992,Greece,0.0,,,,0.559426,4.585547151045621,15.87707379,-18.394326909349388,5000.0,,15000.0,-50.0,30000.0,-30.23255813953488,40000.0,-19.999999999999996,,0.0,,0.0,2500000.0,108.33333333333334,4000000.0,33.33333333333333,7000000.0,-6.666666666666665,,0.0,8.927,17.894875858425774,,
1992,Italy,0.0,,,,0.636484,-0.6615963528701196,5.270589986,-15.670550752116252,10000.0,0.0,22000.0,0.0,27000.0,3.8461538461538547,34000.0,3.0303030303030276,41000.0,2.499999999999991,,6.462984723854293,7200000.0,5.882352941176472,14400000.0,6.666666666666665,30000000.0,-10.979228486646885,60000000.0,-11.24260355029586,9.321,-7.685451124096265,,
1992,Mexico,0.0,,,,3.094898,2.533369996985191,15.50789625,-31.56980729490203,3.0,0.0,10.0,0.0,17.0,0.0,25.0,0.0,32.0,0.0,984847.0,12.028242328001394,1251339.0,2.981201763785135,10620714.0,2.981122463375563,18664815.0,2.981187332719437,21697188.0,2.981149586595766,3.235,2.861685214626397,,
1992,Portugal,0.0,,,,0.673366,-6.564280887448259,9.559260332,-19.327624841809786,15000.0,0.0,25000.0,0.0,35000.0,0.0,40000.0,0.0,,0.0,,8.000000000000007,810000.0,8.000000000000007,1890000.0,8.000000000000007,4860000.0,8.000000000000007,,0.0,3.985,1.684103087522315,,
1992,Spain,0.0,,,,0.615311,-1.474730233250754,5.924531262,-0.1631586240198435,20000.0,-19.999999999999996,22000.0,-15.384615384615385,24500.0,-9.259259259259256,27000.0,-3.57142857142857,30000.0,0.0,400000.0,-41.288712755027156,1000000.0,-11.93306913254073,1570000.0,-7.823279025392626,2140000.0,-5.76838397181858,2710000.0,-4.535446939674149,17.697,11.099252934898596,,
1992,Switzerland,0.0,,,,1.406218,-1.9368308888752517,4.037030208,-31.103957158307026,0.0,,0.77,0.0,0.88,0.0,2.64,0.0,2.97,0.0,,,12900.0,0.0,21000.0,0.0,27500.0,0.0,36700.0,0.0,2.344,28.93289328932893,,
1992,United States,4560.62334,,,,1.0,0.0,3.028819678,-28.480626918392215,15.0,0.0,28.0,0.0,31.0,0.0,36.0,0.0,39.6,0.0,5900.0,6.3063063063063085,21450.0,5.405405405405395,51900.0,5.273833671399597,135050.0,2.8009671263027003,260125.0,1.4182349773988023,7.5,10.294117647058831,,
1993,Australia,0.0,,,,1.47056,7.998542942081954,1.753653445,73.2463466056269,0.0,,20.0,0.0,35.5,-6.578947368421051,38.5,-16.30434782608695,44.125,-6.117021276595747,,,5400.0,0.0,20700.0,0.0,36000.0,0.0,38000.0,-24.0,10.879,1.3602906922575153,,
1993,Austria,1884.9199,,,,0.845344,5.849797026392833,3.631785249,-9.67613225748063,10.0,,22.0,0.0,32.0,0.0,42.0,0.0,,0.0,,0.0,50000.0,0.0,150000.0,0.0,300000.0,0.0,,0.0,4.25,18.38440111420614,,
1993,Belgium,0.0,,,,0.857625,7.611375656396446,2.754426435,13.446323043083975,25.0,0.0,30.0,0.0,40.0,0.0,45.0,0.0,50.0,0.0,186000.0,2.7624309392265234,253000.0,0.0,335000.0,0.0,478000.0,0.0,1100000.0,0.0,8.078,20.531184720978814,,
1993,France,0.0,,,,0.863354,6.978242633237386,2.104462771,-10.969711020164397,0.0,,12.0,140.0,25.0,160.41666666666669,35.0,143.05555555555554,45.0,134.375,,,3339.0,13.959044368600694,7302.0,138.54949362953283,12851.0,254.21719955898564,20809.0,262.8421970357454,11.321,10.957561501519164,,
