,country,range,Voter turnout (highest score=1),Freedom of Religion (highest score=1),Urban population (% of total population),ethnicity_ratio,economic_stability_index,political_social_index,change,year
123,Iceland,1995.0-1999.0,0.8674999999999999,0.98,92.03625,1.0,2.3694499913878584,0.1626210314418188,False,1999.0
124,Iceland,1999.0-2003.0,0.8674999999999999,0.98,92.596,1.0,-0.2843574128109386,0.183456315955362,False,2003.0
125,Iceland,2003.0-2007.0,0.685,0.8825,93.09700000000001,1.0,3.1187544871510786,0.19337078872930474,False,2007.0
126,Iceland,2007.0-2009.0,0.85,0.98,93.453,1.0,-5.935673385062424,0.22733849591484523,True,2009.0
127,Iceland,2009.0-2013.0,0.7975,0.99,93.5985,1.0,-1.3752690314547624,0.23682087048684722,True,2013.0
128,Iceland,2013.0-2016.0,0.7766666666666667,0.9266666666666667,93.70066666666666,1.0,0.8085205417357638,0.1945645392974884,False,2016.0
129,Iceland,2016.0-2017.0,0.78,1.0,93.773,1.0,-0.3302820083653263,0.1768920368047168,True,2017.0
130,Iceland,2017.0-2021.0,0.7375,0.9725,93.8775,1.0,-3.144156599548774,0.19078680427985792,False,2021.0
131,Ireland,1990.0-1997.0,0.69875,0.9475,57.634875,1.0,3.565661205731897,0.15071849080026736,False,1997.0
132,Ireland,1997.0-2002.0,0.51,0.9800000000000001,59.1554,1.0,4.421488692623571,0.18422293453761912,False,2002.0
133,Ireland,2002.0-2007.0,0.674,0.954,60.456399999999995,1.0,0.7240774331609268,0.19639630799139568,False,2007.0
134,Ireland,2007.0-2011.0,0.6425,0.9475,61.44175,1.0,-4.733596968299814,0.21692890823985264,True,2011.0
135,Ireland,2011.0-2016.0,0.514,0.9780000000000001,62.3396,1.0,4.301536692583456,0.2233171528385564,False,2016.0
136,Ireland,2016.0-2020.0,0.47250000000000003,0.9450000000000001,63.29375,1.0,4.054307806353395,0.23881948030911926,True,2020.0
137,Israel,1990.0-1996.0,0.8271428571428572,0.8571428571428571,90.66128571428571,0.31,0.9691992035450788,-0.2088602937398543,True,1996.0
138,Israel,1996.0-1999.0,0.85,0.8233333333333334,91.074,0.31,-0.8681696343891692,-0.330299170771871,True,1999.0
139,Israel,1999.0-2003.0,0.7474999999999999,0.84,91.29825,0.31,-1.7822591064221296,-0.2741117773629426,True,2003.0
140,Israel,2003.0-2006.0,0.7433333333333333,0.81,91.51799999999999,0.31,0.8891644320631519,-0.13955380012957017,True,2006.0
141,Israel,2006.0-2009.0,0.7066666666666667,0.81,91.702,0.31,-0.7426544953290627,-0.23123917502827704,True,2009.0
142,Israel,2009.0-2013.0,0.7075,0.8075,91.92725,0.31,0.5357107110424058,-0.28805140093632625,False,2013.0
143,Israel,2013.0-2015.0,0.745,0.785,92.14150000000001,0.31,-0.9000402022791257,-0.29771143741894557,False,2015.0
144,Israel,2015.0-2019.0,0.7625,0.7925,92.37775,0.31,0.15020667306408486,-0.2035666162911408,False,2019.0
145,Israel,2019.0-2020.0,0.78,0.77,92.587,0.31,-5.6823687193193,-0.1914561716307684,False,2020.0
146,Israel,2020.0-2021.0,0.74,0.8,92.674,0.31,4.691170632826369,-0.1719499836058062,True,2021.0
147,Israel,2021.0-2022.0,0.78,0.8,92.763,0.3099999999999999,2.6433019015000783,-0.1477910766011973,True,2022.0
148,Italy,1990.0-1994.0,0.9339999999999999,0.9800000000000001,66.7676,0.9350000000000002,-1.0393640712086731,-0.0796739405515888,True,1994.0
149,Italy,1994.0-1996.0,0.895,0.98,66.952,0.935,-0.047819024669173926,-0.0703794203175085,True,1996.0
150,Italy,1996.0-2001.0,0.874,0.9800000000000001,67.162,0.9350000000000002,0.05051227933763508,-0.04200570716214542,True,2001.0
151,Italy,2001.0-2006.0,0.844,0.908,67.6194,0.9350000000000002,-1.6340588927789117,-0.2172540145200125,True,2006.0
152,Italy,2006.0-2008.0,0.8049999999999999,0.75,68.033,0.935,-2.4295488176122078,-0.15425805071724313,True,2008.0
153,Italy,2008.0-2013.0,0.768,0.8960000000000001,68.52860000000001,0.9350000000000002,-4.107680755732831,-0.2873677068107542,True,2013.0
154,Italy,2013.0-2018.0,0.674,0.8100000000000002,69.8548,0.9350000000000002,-1.2371998322609028,-0.23461807557590908,True,2018.0
155,Italy,2018.0-2022.0,0.625,0.8025,71.1945,0.935,-0.5954314915680012,-0.2297118615255877,True,2022.0
156,Japan,1990.0-1996.0,0.6585714285714286,0.9799999999999999,77.74428571428572,0.973,-0.18828678654378658,0.0801040591706865,True,1996.0
157,Japan,1996.0-2000.0,0.595,0.98,78.4605,0.9798,-1.7895567256491323,0.08259806521163562,False,2000.0
158,Japan,2000.0-2003.0,0.5833333333333334,0.98,81.611,0.9798,-1.68539133280575,0.07257378304429933,True,2003.0
159,Japan,2003.0-2005.0,0.625,0.98,85.309,0.9798,-0.13640583651248064,0.1700782580605224,True,2005.0
160,Japan,2005.0-2009.0,0.6675,0.98,88.589,0.9798,-3.17894546077627,0.1829698561697723,True,2009.0
161,Japan,2009.0-2012.0,0.6566666666666666,0.89,91.00966666666666,0.9808,-0.16771174335317482,0.18653161523190484,True,2012.0
162,Japan,2012.0-2014.0,0.55,1.0,91.265,0.9808,-0.8185881643985573,0.1529371019869005,False,2014.0
163,Japan,2014.0-2017.0,0.51,0.9633333333333334,91.45766666666667,0.9796,-0.6986506678963261,0.1509422572512248,False,2017.0
164,Japan,2017.0-2021.0,0.52,0.9725,91.74074999999999,0.979,-2.190358143233986,0.14379421942764564,False,2021.0
165,Latvia,1990.0-1995.0,0.6464500000000001,0.8794166666666666,68.95883333333333,0.4883333333333333,1.6795272536915125,-0.376855488753939,True,1995.0
166,Latvia,1995.0-1998.0,0.5033333333333333,0.7666666666666666,68.567,0.586,4.897315309044071,-0.4267865506135373,True,1998.0
167,Latvia,1998.0-2002.0,0.5175000000000001,0.7875000000000001,68.02175,0.586,4.475574264701679,-0.1338966487486818,True,2002.0
168,Latvia,2002.0-2006.0,0.5275000000000001,0.775,67.91675000000001,0.586,8.859229872661228,-0.10818907936171682,True,2006.0
169,Latvia,2006.0-2010.0,0.4975,0.75,67.84725,0.586,-3.775265257857903,-0.11318291316087148,True,2010.0
170,Latvia,2010.0-2011.0,0.52,0.98,67.869,0.586,2.348847796938795,-0.0609225370206151,True,2011.0
171,Latvia,2011.0-2014.0,0.5166666666666667,0.9633333333333334,67.92466666666667,0.586,2.6740577223724,-0.0507158587738755,True,2014.0
172,Latvia,2014.0-2018.0,0.515,0.87,68.0545,0.586,2.1613429801758177,-0.051667637557013354,True,2018.0
173,Latvia,2018.0-2022.0,0.5475,0.9450000000000001,68.3745,0.586,0.3227744283766056,-0.067952323999115,True,2022.0
174,Lithuania,1990.0-1996.0,0.7051247317954065,0.9046428571428571,67.40414285714284,0.6565714285714286,3.902344759679333,-0.4942581502127553,True,1996.0
175,Lithuania,1996.0-2000.0,0.5974999999999999,0.7625,67.076,0.766,3.2303905508950885,0.0061775997423093,True,2000.0
176,Lithuania,2000.0-2004.0,0.495,0.8200000000000001,66.7825,0.842,6.455429669891458,0.015442755761105525,True,2004.0
177,Lithuania,2004.0-2008.0,0.4725,0.7875000000000001,66.7415,0.842,6.5789859573355685,0.03445192520339348,True,2008.0
178,Lithuania,2008.0-2012.0,0.49,0.8625,66.801,0.842,-1.2033835411846936,0.06415227721507998,True,2012.0
179,Lithuania,2012.0-2016.0,0.48250000000000004,0.9725,67.1725,0.842,1.8537819614371225,0.18189040892175082,True,2016.0
180,Lithuania,2016.0-2020.0,0.5575,0.9725,67.774,0.842,1.7987725308595701,0.14582909055221288,False,2020.0
181,Luxembourg,1990.0-1994.0,0.632,0.9800000000000001,81.5888,0.533,1.2728703049528671,0.20639779556496718,False,1994.0
182,Luxembourg,1994.0-1999.0,0.592,0.9800000000000001,82.96759999999999,0.533,1.1366615548766152,0.2189604426266487,False,1999.0
183,Luxembourg,1999.0-2004.0,0.56,0.954,85.2556,0.533,0.6215511473508045,0.22758538919662535,False,2004.0
184,Luxembourg,2004.0-2009.0,0.554,0.954,87.39880000000001,0.533,-1.1840882461967108,0.23523729065252258,False,2009.0
185,Luxembourg,2009.0-2013.0,0.5325,0.99,89.069,0.533,-1.919757638315398,0.2582960888646673,True,2013.0
186,Luxembourg,2013.0-2018.0,0.526,0.952,90.4462,0.533,-1.9042822174738823,0.25387848014354275,False,2018.0
187,Luxembourg,2018.0-2023.0,0.4724772649572648,0.9087179487179486,91.6614,0.533,-1.5257226025405504,0.25679047002303745,True,2023.0
188,Mexico,1990.0-1994.0,0.508,0.6799999999999999,72.2054,0.8009999999999999,-0.07493782211778326,-1.407513074172132,True,1994.0
189,Mexico,1994.0-1997.0,0.62,0.7233333333333333,73.65566666666666,0.801,-1.4212192444630514,-1.279627978220563,True,1997.0
190,Mexico,1997.0-2000.0,0.5566666666666666,0.75,74.44966666666666,0.801,0.8478834478714644,-1.1147764252550048,False,2000.0
191,Mexico,2000.0-2003.0,0.5333333333333333,0.7233333333333333,75.36399999999999,0.801,-3.4506501682885222,-0.9452676937338721,True,2003.0
192,Mexico,2003.0-2006.0,0.49,0.7233333333333333,76.307,0.801,-0.07342926738669747,-1.0657033149946162,False,2006.0
193,Mexico,2006.0-2009.0,0.63,0.75,77.22066666666666,0.801,-4.453115307633762,-1.1001717838741325,True,2009.0
194,Mexico,2009.0-2012.0,0.6333333333333333,0.7566666666666667,78.11033333333334,0.801,0.4517995565923531,-1.3657639461841038,False,2012.0
195,Mexico,2012.0-2015.0,0.5866666666666667,0.81,78.99233333333332,0.801,-1.348363574103831,-1.2884300524822947,False,2015.0
196,Mexico,2015.0-2018.0,0.54,0.7799999999999999,79.86666666666667,0.801,-1.3061350943989323,-1.106542232449121,True,2018.0
197,Mexico,2018.0-2021.0,0.62,0.8533333333333334,80.73033333333333,0.801,-3.841901162659753,-1.1261457298512754,False,2021.0
198,Netherlands,1990.0-1994.0,0.774,0.9800000000000001,70.2596,0.95,-0.32174515521938635,0.23569125233841648,False,1994.0
199,Netherlands,1994.0-1998.0,0.7375,0.98,74.038,0.95,1.2513728627345073,0.24147740815415308,False,1998.0
200,Netherlands,1998.0-2002.0,0.7175,0.915,77.44200000000001,0.95,0.12234223645910569,0.24150892124433715,True,2002.0
201,Netherlands,2002.0-2003.0,0.78,0.98,80.341,0.95,-2.4254248169535693,0.2663682828979382,False,2003.0
202,Netherlands,2003.0-2006.0,0.7766666666666667,0.98,82.59333333333332,0.9499999999999998,0.13664905915491946,0.273719265158611,False,2006.0
